idValida,estado,oficina,area,fechaSolicitud,tipoGasto,concepto,montoGasto,fechaCarga,usuarioCargo,validacion,obseValidacion,fechaValidacion,usuarioValidacion,comprobacion,fechaComprobacion,usuarioComprobo,statusValida,Freq,idValidaD,fechaDeposito,montoDeposito,fechaCargaD,usuarioCargoD
173383,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173383,21/01/2019,3828,31/01/2019,Gadmin14
173384,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173384,21/01/2019,3828,31/01/2019,Gadmin14
173385,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173385,21/01/2019,3828,31/01/2019,Gadmin14
173386,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173386,21/01/2019,3828,31/01/2019,Gadmin14
173387,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173387,21/01/2019,3828,31/01/2019,Gadmin14
173388,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173388,21/01/2019,3828,31/01/2019,Gadmin14
173389,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173389,21/01/2019,3828,31/01/2019,Gadmin14
173390,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173390,21/01/2019,3828,31/01/2019,Gadmin14
173391,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173391,21/01/2019,3828,31/01/2019,Gadmin14
173392,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173392,21/01/2019,3828,31/01/2019,Gadmin14
173393,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173393,21/01/2019,3828,31/01/2019,Gadmin14
173394,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173394,21/01/2019,3828,31/01/2019,Gadmin14
173395,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173395,21/01/2019,3828,31/01/2019,Gadmin14
173396,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173396,21/01/2019,3828,31/01/2019,Gadmin14
173397,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173397,21/01/2019,3828,31/01/2019,Gadmin14
173398,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173398,21/01/2019,3828,31/01/2019,Gadmin14
173399,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173399,21/01/2019,3828,31/01/2019,Gadmin14
173400,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173400,21/01/2019,3828,31/01/2019,Gadmin14
173401,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173401,21/01/2019,3828,31/01/2019,Gadmin14
173402,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173402,21/01/2019,3828,31/01/2019,Gadmin14
173403,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173403,21/01/2019,3828,31/01/2019,Gadmin14
173404,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173404,21/01/2019,3828,31/01/2019,Gadmin14
173405,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173405,21/01/2019,3828,31/01/2019,Gadmin14
173406,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173406,21/01/2019,3828,31/01/2019,Gadmin14
173407,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173407,21/01/2019,3828,31/01/2019,Gadmin14
173408,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173408,21/01/2019,3828,31/01/2019,Gadmin14
173409,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173409,21/01/2019,3828,31/01/2019,Gadmin14
173410,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173410,21/01/2019,3828,31/01/2019,Gadmin14
173411,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173411,21/01/2019,3828,31/01/2019,Gadmin14
173412,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173412,21/01/2019,3828,31/01/2019,Gadmin14
173413,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173413,21/01/2019,3828,31/01/2019,Gadmin14
173414,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO ACTORA,3828,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,31/01/2019,Gadmin14,SI,01/02/2019,GF20160401,COMPROBADO,1,173414,21/01/2019,3828,31/01/2019,Gadmin14
173415,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,NO COMPROBABLE FISCALMENTE,GASTOS AVM_ 006  para extraccion de archivo judicial,20,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,22/01/2019,Gadmin14,SI,23/01/2019,GF20160401,COMPROBADO,1,173415,18/01/2019,20,22/01/2019,Gadmin14
173416,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,NO COMPROBABLE FISCALMENTE,GASTOS AVM_ 006  para extraccion de archivo judicial,20,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,22/01/2019,Gadmin14,SI,23/01/2019,GF20160401,COMPROBADO,1,173416,18/01/2019,20,22/01/2019,Gadmin14
173417,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,NO COMPROBABLE FISCALMENTE,GASTOS AVM_ 006  para extraccion de archivo judicial,20,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,22/01/2019,Gadmin14,SI,23/01/2019,GF20160401,COMPROBADO,1,173417,18/01/2019,20,22/01/2019,Gadmin14
173418,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,NO COMPROBABLE FISCALMENTE,GASTOS AVM_ 006  para extraccion de archivo judicial,20,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,22/01/2019,Gadmin14,SI,23/01/2019,GF20160401,COMPROBADO,1,173418,18/01/2019,20,22/01/2019,Gadmin14
173419,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,NO COMPROBABLE FISCALMENTE,GASTOS AVM_ 006  para extraccion de archivo judicial,20,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,22/01/2019,Gadmin14,SI,24/01/2019,GTEF,COMPROBADO,1,173419,18/01/2019,20,22/01/2019,Gadmin14
173420,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,NO COMPROBABLE FISCALMENTE,GASTOS AVM_ 006  para extraccion de archivo judicial,20,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,22/01/2019,Gadmin14,SI,23/01/2019,GF20160401,COMPROBADO,1,173420,18/01/2019,20,22/01/2019,Gadmin14
173421,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,NO COMPROBABLE FISCALMENTE,GASTOS AVM_ 006  para extraccion de archivo judicial,50,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,22/01/2019,Gadmin14,SI,24/01/2019,GF20160401,COMPROBADO,1,173421,18/01/2019,50,22/01/2019,Gadmin14
173422,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,NO COMPROBABLE FISCALMENTE,GASTOS AVM_ 006  para extraccion de archivo judicial,20,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,22/01/2019,Gadmin14,SI,24/01/2019,GF20160401,COMPROBADO,1,173422,18/01/2019,20,22/01/2019,Gadmin14
173423,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,NO COMPROBABLE FISCALMENTE,GASTOS AVM_  005  para exhortos,40,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,22/01/2019,Gadmin14,SI,24/01/2019,GF20160401,COMPROBADO,1,173423,18/01/2019,40,22/01/2019,Gadmin14
173424,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,NO COMPROBABLE FISCALMENTE,GASTOS AVM_ 006  para extraccion de archivo judicial,20,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,22/01/2019,Gadmin14,SI,24/01/2019,GF20160401,COMPROBADO,1,173424,18/01/2019,20,22/01/2019,Gadmin14
173425,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,NO COMPROBABLE FISCALMENTE,GASTOS AVM_ 006  para extraccion de archivo judicial,20,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,22/01/2019,Gadmin14,SI,24/01/2019,GF20160401,COMPROBADO,1,173425,18/01/2019,20,22/01/2019,Gadmin14
173426,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,NO COMPROBABLE FISCALMENTE,GASTOS AVM_  005  para exhortos,40,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,22/01/2019,Gadmin14,SI,24/01/2019,GF20160401,COMPROBADO,1,173426,18/01/2019,40,22/01/2019,Gadmin14
173427,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,NO COMPROBABLE FISCALMENTE,GASTOS AVM_  005  para exhortos,40,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,22/01/2019,Gadmin14,SI,24/01/2019,GF20160401,COMPROBADO,1,173427,18/01/2019,40,22/01/2019,Gadmin14
173428,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,NO COMPROBABLE FISCALMENTE,GASTOS AVM_ 006  para extraccion de archivo judicial,20,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,22/01/2019,Gadmin14,SI,24/01/2019,GF20160401,COMPROBADO,1,173428,18/01/2019,20,22/01/2019,Gadmin14
173429,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,NO COMPROBABLE FISCALMENTE,GASTOS AVM_ 006  para extraccion de archivo judicial,20,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,22/01/2019,Gadmin14,SI,24/01/2019,GF20160401,COMPROBADO,1,173429,18/01/2019,20,22/01/2019,Gadmin14
173430,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,NO COMPROBABLE FISCALMENTE,GASTOS AVM_ 006  para extraccion de archivo judicial,20,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,22/01/2019,Gadmin14,SI,24/01/2019,GF20160401,COMPROBADO,1,173430,18/01/2019,20,22/01/2019,Gadmin14
173431,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,NO COMPROBABLE FISCALMENTE,GASTOS AVM_  005  para exhortos,40,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,22/01/2019,Gadmin14,SI,24/01/2019,GF20160401,COMPROBADO,1,173431,18/01/2019,40,22/01/2019,Gadmin14
173432,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,NO COMPROBABLE FISCALMENTE,GASTOS AVM_ 006  para extraccion de archivo judicial,20,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,22/01/2019,Gadmin14,SI,24/01/2019,GF20160401,COMPROBADO,1,173432,18/01/2019,20,22/01/2019,Gadmin14
173433,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,NO COMPROBABLE FISCALMENTE,GASTOS AVM_ 006  para extraccion de archivo judicial,20,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,22/01/2019,Gadmin14,SI,24/01/2019,GF20160401,COMPROBADO,1,173433,18/01/2019,20,22/01/2019,Gadmin14
173434,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,NO COMPROBABLE FISCALMENTE,GASTOS AVM_  005  para exhortos,40,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,22/01/2019,Gadmin14,SI,24/01/2019,GF20160401,COMPROBADO,1,173434,18/01/2019,40,22/01/2019,Gadmin14
173435,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,NO COMPROBABLE FISCALMENTE,GASTOS AVM_ 006  para extraccion de archivo judicial,76,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,22/01/2019,Gadmin14,SI,24/01/2019,GF20160401,COMPROBADO,1,173435,18/01/2019,75.5,22/01/2019,Gadmin14
173436,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,NO COMPROBABLE FISCALMENTE,GASTOS AVM_ 006  para extraccion de archivo judicial,76,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,22/01/2019,Gadmin14,SI,24/01/2019,GF20160401,COMPROBADO,1,173436,18/01/2019,75.5,22/01/2019,Gadmin14
173437,VALLE MEXICO,Distrito Federal,Juridico Proyecto Actual,17/12/2018,NO COMPROBABLE FISCALMENTE,COPIAS SIMPLES EXPEDIENTE,12,17/12/2018,GtVJ20150901,ACEPTADO,PAGADO,22/01/2019,Gadmin14,SI,24/01/2019,GF20160401,COMPROBADO,1,173437,18/01/2019,12,22/01/2019,Gadmin14
173441,SINALOA,Mazatlan,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,ESCRITURA PARA DEMANDAR,180,17/12/2018,GtoSin2015,ACEPTADO,PAGADO,09/01/2019,Gadmin14,SI,15/01/2019,OPER071604,COMPROBADO,1,173441,08/01/2019,180,09/01/2019,Gadmin14
173442,COLIMA,Colima,Juridico Proyecto Actual,17/12/2018,NO COMPROBABLE FISCALMENTE,COPIAS SIMPLES EXPEDIENTE,37,17/12/2018,GtoCol2015,ACEPTADO,PAGADO,23/01/2019,Gadmin14,SI,11/02/2019,OPER071604,COMPROBADO,1,173442,23/01/2019,37,23/01/2019,Gadmin14
173449,MICHOACAN,Morelia,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,CLG PARA DEMANDA,490,17/12/2018,GtoMic2015,ACEPTADO,PAGADO,09/01/2019,Gadmin14,SI,10/01/2019,GF20160401,COMPROBADO,1,173449,09/01/2019,490,09/01/2019,Gadmin14
173450,MICHOACAN,Morelia,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,CLG PARA DEMANDA,490,17/12/2018,GtoMic2015,ACEPTADO,PAGADO,09/01/2019,Gadmin14,SI,10/01/2019,GF20160401,COMPROBADO,1,173450,09/01/2019,490,09/01/2019,Gadmin14
173451,CHIHUAHUA,Cd. Juarez,Juridico Proyecto Actual,17/12/2018,REEMBOLSABLE,AVALUO EN REBELDIA,3248,18/12/2018,GtoCha2015,ACEPTADO,PAGADO,09/01/2019,Gadmin14,SI,22/02/2019,GF20160401,COMPROBADO,1,173451,08/01/2019,3248,09/01/2019,Gadmin14
173453,COLIMA,Colima,Juridico Proyecto Actual,18/12/2018,NO COMPROBABLE FISCALMENTE,GASTOS AVM_ 001  PARA EMPLAZAMIENTO / NOTIFICACION,200,18/12/2018,GtoCol2015,ACEPTADO,PAGADO,23/01/2019,Gadmin14,SI,11/02/2019,OPER071604,COMPROBADO,1,173453,23/01/2019,200,23/01/2019,Gadmin14
173461,BAJA CALIFORNIA NORTE,Mexicali,Juridico Proyecto Actual,18/12/2018,REEMBOLSABLE,SANEAMIENTO_HONORARIOS DE NOTARIO,5000,18/12/2018,GtoBcn2015,ACEPTADO,PAGADO,09/01/2019,Gadmin14,SI,09/01/2019,CONSULTAFIN,COMPROBADO,1,173461,08/01/2019,5000,09/01/2019,Gadmin14
173478,TLAXCALA,Tlaxcala,Juridico Proyecto Actual,28/12/2018,NO COMPROBABLE FISCALMENTE,GASTOS  AVM_003 PARA  REQUERIMIENTO DE PAGO,150,28/12/2018,GtoTlo2015,ACEPTADO,PAGADO,09/01/2019,Gadmin14,SI,14/01/2019,GF20160401,COMPROBADO,1,173478,08/01/2019,150,09/01/2019,Gadmin14
173479,TLAXCALA,Tlaxcala,Juridico Proyecto Actual,28/12/2018,COMPROBABLE FISCALMENTE,GASOLINA,150,28/12/2018,GtoTlo2015,ACEPTADO,PAGADO,03/01/2019,Gadmin14,NO,,,,3,173479,03/01/2019,150,03/01/2019,Gadmin14
173481,TLAXCALA,Tlaxcala,Juridico Proyecto Actual,28/12/2018,COMPROBABLE FISCALMENTE,GASOLINA,150,28/12/2018,GtoTlo2015,ACEPTADO,PAGADO,03/01/2019,Gadmin14,NO,,,,3,173481,03/01/2019,150,03/01/2019,Gadmin14
173483,TLAXCALA,Tlaxcala,Juridico Proyecto Actual,28/12/2018,NO COMPROBABLE FISCALMENTE,GASTOS  AVM_003 PARA  REQUERIMIENTO DE PAGO,150,28/12/2018,GtoTlo2015,ACEPTADO,PAGADO,09/01/2019,Gadmin14,SI,19/02/2019,CONSULTAFIN,COMPROBADO,1,173483,08/01/2019,150,09/01/2019,Gadmin14
173484,TLAXCALA,Tlaxcala,Juridico Proyecto Actual,28/12/2018,COMPROBABLE FISCALMENTE,GASOLINA,150,28/12/2018,GtoTlo2015,ACEPTADO,PAGADO,03/01/2019,Gadmin14,NO,,,,3,173484,03/01/2019,150,03/01/2019,Gadmin14
173485,TLAXCALA,Tlaxcala,Juridico Proyecto Actual,28/12/2018,NO COMPROBABLE FISCALMENTE,GASTOS  AVM_003 PARA  REQUERIMIENTO DE PAGO,150,28/12/2018,GtoTlo2015,ACEPTADO,PAGADO,09/01/2019,Gadmin14,SI,19/02/2019,CONSULTAFIN,COMPROBADO,1,173485,08/01/2019,150,09/01/2019,Gadmin14
173486,TLAXCALA,Tlaxcala,Juridico Proyecto Actual,28/12/2018,COMPROBABLE FISCALMENTE,GASOLINA,200,28/12/2018,GtoTlo2015,ACEPTADO,PAGADO,03/01/2019,Gadmin14,NO,,,,3,173486,03/01/2019,200,03/01/2019,Gadmin14
173487,TLAXCALA,Tlaxcala,Juridico Proyecto Actual,28/12/2018,NO COMPROBABLE FISCALMENTE,GASTOS AVM_ 001  PARA EMPLAZAMIENTO / NOTIFICACION,150,28/12/2018,GtoTlo2015,ACEPTADO,PAGADO,09/01/2019,Gadmin14,SI,19/02/2019,CONSULTAFIN,COMPROBADO,1,173487,08/01/2019,150,09/01/2019,Gadmin14
